Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
Q696W1,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,158,,,
Q6TPH0,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,158,,,
Q5FZI6,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,156,,,
D9U2A5,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",89,,,
P0CI53,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",77,fragment,,
P0CI57,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",81,,,
P61504,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,35,,,
P68722,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,,
P0C5I3,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,PD(50) is 3-5 ng/100 mg of body weight of Sarcophaga larvae for both contraction and flaccid paralysis. {ECO:0000269|PubMed:15966742}.,
P0C5I9,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,"PD(50) is 19 ng/100 mg of body weight of Sarcophaga larvae for contraction paralysis, and 85 ng/100 mg for flaccid paralysis. {ECO:0000269|PubMed:15966742}.",
P55903,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,LD(50) is 1.1 ug/g in Blattella germanica. {ECO:0000269|PubMed:9080593}.,
Q17230,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",64,,,
P81504,Androctonus australis (Sahara scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,,
P81240,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,,
Q95WX6,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
E2DQZ6,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),Snaclec family,158,,,
P0CI58,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",87,,,
P0CH88,Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris),Peptidase S1 family,20,fragment,,Contains 3 disulfide bonds; N-glycosylated
P13211,Atractaspis engaddensis (Israeli burrowing asp) (Israeli mole viper),Endothelin/sarafotoxin family,21,,LD(50) is 0.35 mg/kg by intravenous injection. {ECO:0000269|PubMed:2509240}.,
Q7M4I3,Bombus pensylvanicus (American bumblebee) (Apis pensylvanica),Peptidase S1 family,243,,,
P55902,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",65,,LD(50) is 50 ug/kg in mouse by intracerebroventricular injection and 600 ng/g in Blattella germanica. {ECO:0000269|PubMed:9080593}.,
P82811,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,LD(50) is 67 ng/100 mg of body weight of blowfly larvae (S.falculata) and 138 ng/100 mg of body weight of cockroaches (B.germanica). {ECO:0000269|PubMed:11437351}.,
P0C5H1,Isometrus vittatus (Scorpion) (Reddyanus vittatus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",70,,,
P19856,Leiurus quinquestriatus quinquestriatus (Egyptian scorpion) (Deathstalker scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",70,,,
P0C5I4,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,PD(50) is 3-5 ng/100 mg of body weight of Sarcophaga larvae for both contraction and flaccid paralysis. {ECO:0000269|PubMed:15966742}.,
Q8T3T0,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
Q9Y1U3,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
Q9IAM1,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,152,,,
P0CI51,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",90,,,
P0CI52,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",83,,,
P0CI60,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",83,fragment,,
Q202J4,Ixodes scapularis (Black-legged tick) (Deer tick),Arthropod phospholipase D family,364,,,
Q9PRP8,Echis carinatus (Saw-scaled viper),Snaclec family,30,fragment,,
B5U6Y7,Echis ocellatus (Ocellated saw-scaled viper),Snaclec family,150,,,
Q9PSM5,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,123,,,
Q719L9,Crotalus durissus terrificus (South American rattlesnake),Snaclec family,158,,,
Q6X5S3,Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi),Snaclec family,148,,,
B0VXV0,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii),Snaclec family,146,,,
Q6X5S7,Echis ocellatus (Ocellated saw-scaled viper),Snaclec family,148,,,
Q6X5S8,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,148,fragment,,
Q4PRC8,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,148,,,
Q4PRC6,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,150,,,
Q6X5S6,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,148,,,Contains disulfide bonds.
Q71RR1,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,146,,,
Q9PS06,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,30,fragment,,Glycosylated
B4XSZ6,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
Q09GJ8,Philodryas olfersii (Green snake),Snaclec family,160,,,
D1MGU0,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),Snaclec family,156,,,
B4XT00,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,148,,,
B4XT03,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,148,,,
B4XT07,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,130,fragment,,
P81115,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,156,,,
P81116,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,146,,,
Q7LZK8,Bitis arietans (African puff adder),Snaclec family,125,,,
P0DJL1,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,12,fragment,,The complex may be glycosylated
Q8JGT6,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,146,,,The complex is glycosylated
P86716,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),,166,,LD(50) is 75 ug/g on flesh fly larvae (S.carnaria). {ECO:0000269|PubMed:24118933}.; PD(50) is 75 ug/g on M.sexta first instar larvae. {ECO:0000269|PubMed:24118933}.,
P86718,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),,171,,,Disulfide bonds
P24336,Hottentotta judaicus (Black scorpion) (Buthotus judaicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,C-terminal basic residues are removed by a carboxypeptidase.
P0C5H2,Isometrus vittatus (Scorpion) (Reddyanus vittatus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",70,,,
P0C5I6,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,PD(50) is 3-5 ng/100 mg of body weight of Sarcophaga larvae for both contraction and flaccid paralysis. {ECO:0000269|PubMed:15966742}.,
Q9PRP7,Echis carinatus (Saw-scaled viper),Snaclec family,30,fragment,,
B5U6Y6,Echis ocellatus (Ocellated saw-scaled viper),Snaclec family,146,,,
P0C8J2,Vipera ammodytes ammodytes (Western sand viper),Snaclec family,13,fragment,,N-glycosylated.
P0C8I8,Bitis arietans (African puff adder),Snaclec family,12,fragment,,
B0VXV1,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii),Snaclec family,142,,,
J3SBN9,Crotalus adamanteus (Eastern diamondback rattlesnake),Snaclec family,140,,,
Q6X5S0,Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi),Snaclec family,148,,,
P81113,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,125,,,
B4XSZ8,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,131,fragment,,
Q9DEF9,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,152,,,
Q71RP9,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,148,,,
B4XSY9,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
Q7LZK5,Bitis arietans (African puff adder),Snaclec family,131,,,
P81508,Crotalus horridus (Timber rattlesnake),Snaclec family,127,,,
Q38L02,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,154,,,
Q9YGG9,Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi),Snaclec family,157,,,
P84038,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,42,fragment,,Glycosylated
P0DJL2,Trimeresurus purpureomaculatus (Mangrove pit viper) (Cryptelytrops purpureomaculatus),Snaclec family,133,,,
Q8AYA4,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,146,,,
B4XT01,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,148,,,
Q71RQ8,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,146,,,
P0DJC9,Bothrops asper (Terciopelo),Snaclec family,62,fragment,,
P81509,Crotalus horridus (Timber rattlesnake),Snaclec family,117,,,
Q9YGN4,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus),Snaclec family,145,,,
P0C8J1,Ophiophagus hannah (King cobra) (Naja hannah),Snaclec family,13,fragment,,May be glycosylated.
Q6X5S9,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,148,,,
Q4PRC9,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,146,,,
Q6X5S1,Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi),Snaclec family,146,,,
Q4PRC7,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,144,,,
Q6X5T1,Bitis arietans (African puff adder),Snaclec family,148,,,
J3SBP0,Crotalus adamanteus (Eastern diamondback rattlesnake),Snaclec family,157,,,
P81114,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,123,,,
Q56EB1,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,155,,,
Q71RQ0,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,148,,,
Q56EB0,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,150,,,
Q8AV98,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),Snaclec family,148,,,
B4XSZ0,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
P0C929,Bothrops insularis (Golden lancehead) (Lachesis insularis),Snaclec family,132,,,
Q7SZV0,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),Snaclec family,121,fragment,,
P0DMM6,Tropidolaemus wagleri (Wagler's pit viper) (Trimeresurus wagleri),Snaclec family,9,fragment,,
Q8AYA3,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,149,,,
B4XT06,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,125,fragment,,
Q71RQ7,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,156,,,
P0CI56,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",81,,,
P61096,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,LD(50) is 7 mg/kg on H.virescens larvae. {ECO:0000269|PubMed:11689233}.,
P61101,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,,
P82812,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,LD(50) is 160 ng/100 mg of body weight of cockroach (B.germanica) and 81 ng/100 mg of body weight of blowfly larvae (S.falculata). {ECO:0000269|PubMed:11437351}.,
P0C5I7,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,"PD(50) is 19 ng/100 mg of body weight of Sarcophaga larvae for contraction paralysis, and 85 ng/100 mg for flaccid paralysis.",
P82814,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",62,,LD(50) is 142 ng/100 mg of body weight of cockroach (B.germanica) and 78 ng/100 mg of body weight of blowfly larvae (S.falculata). {ECO:0000269|PubMed:11437351}.,
P59864,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",62,,LD(50) is 0.1 mg/kg in Blattella germanica. {ECO:0000269|PubMed:12565735}.,
P0DM39,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,148,,,
P22030,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,125,,,
I7ICN3,Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros),Snaclec family,150,,,
Q9DG39,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),Snaclec family,152,,,
P0C2P6,Blarina brevicauda (Northern short-tailed shrew),,54,,,
Q8MQS8,Apis mellifera (Honeybee),Peptidase S1 family,405,,,
P0DM38,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,158,,,
Q4PRD2,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,158,,,"N-glycosylated; probably required for conformation. Removal of easily accessible sugars does not change its functional capacity, but removal of the core sugars with N-glycanase causes a virtually complete loss of enzyme activity, apparently as a result of major conformational changes in the molecule. Not O-glycosylated"
I7JUQ0,Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros),Snaclec family,156,,,
Q9I841,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,136,,,
P0CI59,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
P0CI55,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",86,,,
D9U2A1,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
D9U2A0,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",83,,,
P0C8D7,Scolopendra viridicornis nigra (Brazilian giant centipede),Scolopendra toxin 10 family,45,fragment,,Contains 3 disulfide bonds
P0CI98,Lychas mucronatus (Chinese swimming scorpion),,94,,,
P0C7K5,Atheris chlorechis (Western bush viper) (Vipera chlorechis),PHpG family,24,,,
A8YPR9,Cerastes cerastes (Horned desert viper),Natriuretic peptide family,302,,,
F2YLA3,Rhopalurus junceus (Caribbean blue scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",90,,,
Q7Z269,Polistes dominula (European paper wasp) (Vespa dominula),Peptidase S1 family,277,,,
P80163,Atractaspis bibronii (Bibron's mole viper) (Southern stiletto snake),Endothelin/sarafotoxin family,21,,,
P0C8D6,Scolopendra viridicornis nigra (Brazilian giant centipede),Scolopendra toxin 10 family,13,fragment,,Contains 3 disulfide bonds
P0C8D3,Scolopendra viridicornis nigra (Brazilian giant centipede),Scolopendra toxin 9 family,15,fragment,,
D9U298,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",83,,,
P0CI54,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",83,,,
P0CI50,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",81,,,
P0CI81,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
P86717,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),,166,,,
P0C8D8,Scolopendra viridicornis nigra (Brazilian giant centipede),Scolopendra toxin 10 family,12,fragment,,Contains 3 disulfide bonds
P0DJK0,Atractaspis irregularis (Variable burrowing asp) (Elaps irregularis),Endothelin/sarafotoxin family,118,,,Different length molecules ranging from 15 (85-99) to 30 amino acids (85-114) have been found in the venom
P0C8B8,Scolopendra angulata (Barbados giant red centipede),Scolopendra toxin 2 family,15,fragment,,
P0C8C5,Scolopendra angulata (Barbados giant red centipede),Scolopendra toxin 5 family,14,fragment,,
C3TS10,Anemonia viridis (Snakelocks anemone),Sea anemone short toxin (type III) family,72,,,
P0C8C8,Scolopendra viridicornis nigra (Brazilian giant centipede),Scolopendra toxin 7 family,13,fragment,,
